,ts_code,name,enname,classify,list_date,delist_date
2018,AXSM,,AXSOME THERAPEUTICS,EQ,20151119,NaT
2019,AXSPRE,,AXIS CAP 100 DS,EQ,20171102,NaT
2020,AXTA,,AXALTA COATING SYSTEMS,EQ,20141112,NaT
2021,AXTG,,AXIS TECHNOLOGIES GROUP,EQ,19980224,NaT
2022,AXTI,,AXT,EQ,19980521,NaT
2023,AXTLF,,AXTEL 'CPO' (OTC),EQ,20140113,NaT
2024,AXVEF,,CDN MAVERICK (OTC) CAPITAL,EQ,20061129,NaT
2025,AXXA,,EXXE GROUP,EQ,20130629,NaT
2026,AXXDF,,ALDERON IRON ORE (OTC),EQ,20040910,NaT
2027,AXXTF,,AXIATA GROUP (OTC),EQ,20150209,NaT
2028,AY,,ATLN.SUST.INFR.,EQ,20140613,NaT
2029,AYAAF,,AYALA LAND (OTC),EQ,20140113,NaT
2030,AYAAY,,AYALA LAND ADR 1:20,ADR,20190429,NaT
2031,AYAG,,AMAYA GLOBAL HLDGS,EQ,20120216,NaT
2032,AYALY,,AYALA ADR 1:1,ADR,20120511,NaT
2033,AYAMF,,AOYAMA TRADING (OTC),EQ,20140415,NaT
2034,AYASF,,AYA GOLD & SILVER (OTC),EQ,20100201,NaT
2035,AYFIF,,AYFIE INTERNATIONAL(OTC),EQ,20210916,NaT
2036,AYI,,ACUITY BRANDS,EQ,20011114,NaT
2037,AYRO,,AYRO,EQ,20011207,NaT
2038,AYRWF,,AYR WELLNESS (OTC) SUBORDINATE VOTING,EQ,20201207,NaT
2039,AYTU,,AYTU BIOPHARMA,EQ,20101028,NaT
2040,AYURF,,AYURCANN HOLDINGS (OTC),EQ,20141121,NaT
2041,AYX,,ALTERYX 'A',EQ,20170324,
2042,AYYLF,,AYALA (OTC),EQ,20140113,NaT
2043,AZ,,A2Z SMART TECHNOLOGIES,EQ,20200512,NaT
2044,AZASF,,ARIZONA GOLD & (OTC) SILVER,EQ,20170310,NaT
2045,AZDDQ,,AZURE DYNAMICS,EQ,20141021,NaT
2046,AZEK,,AZEK COMPANY A,EQ,20200613,NaT
2047,AZFL,,AMAZONAS FLORESTAL,EQ,20121024,NaT
2048,AZGFF,,AZTECA GOLD (OTC),EQ,20140113,NaT
2049,AZGSQ,,AZTEC OIL & GAS,EQ,20010726,NaT
2050,AZIHF,,AZIMUT HOLDING (OTC),EQ,20130326,NaT
2051,AZIHY,,AZIMUT HLDG.SPA UNSP. ITALY ADR 1:2,ADR,20130215,
2052,AZIL,,AZIEL,EQ,20120817,NaT
2053,AZLAF,,ARIZONA LITHIUM (OTC),EQ,20210119,NaT
2054,AZLCZ,,AZTEC LD.& CATTLE,EQ,19750106,NaT
2055,AZLGF,,AZELIS GROUP (OTC),EQ,20210923,NaT
2056,AZLOQ,,AZELIO (OTC),EQ,20201109,NaT
2057,AZMCF,,ARIZONA METALS (OTC),EQ,20200811,NaT
2058,AZMTF,,AZIMUT EXPLORATIONS(OTC),EQ,20140113,NaT
2059,AZN,,ASTRAZENECA ADR 2:1,ADR,19930511,NaT
2060,AZNCF,,ASTRAZENECA (OTC),EQ,20020715,NaT
2061,AZNVF,,AZN CAPITAL (OTC),EQ,20140113,NaT
2062,AZO,,AUTOZONE,EQ,19910402,NaT
2063,AZPN,,ASPEN TECHNOLOGY,EQ,19941026,NaT
2064,AZREF,,AZURE POWER GLOBAL,EQ,20161012,NaT
2065,AZRGF,,AZRIELI GROUP (OTC),EQ,20190115,NaT
2066,AZRH,,AZURE HOLDING GROUP,EQ,20130415,NaT
2067,AZRMF,,AZURE MINERALS (OTC),EQ,20160613,NaT
2068,AZRS,,AZZURRO SOLUTIONS,EQ,20230818,NaT
2069,AZTA,,AZENTA,EQ,19950201,NaT
2070,AZTEF,,TV AZTECA CPO (OTC),EQ,20140113,NaT
2071,AZTR,,AZITRA,EQ,20230616,NaT
2072,AZUL,,AZUL ADR 1:3,ADR,20170411,NaT
2073,AZURF,,AZINCOURT ENERGY (OTC),EQ,20130924,NaT
2074,AZWSF,,AIZAWA SECURITIES (OTC) GROUP,EQ,20060120,NaT
2075,AZZ,,AZZ,EQ,19750102,NaT
2076,AZZTF,,AZTEC MINERAL (OTC),EQ,20171122,NaT
2077,B,,BARNES GROUP,EQ,19631014,NaT
2078,BA,,BOEING,EQ,19620702,NaT
2079,BABA,,ALIBABA GROUP HOLDING ADR 1:8,ADR,20140919,NaT
2080,BABAF,,ALIBABA GROUP (OTC) HOLDING,EQ,20191127,NaT
2081,BABB,,BAB,EQ,20001106,NaT
2082,BABL,,BUILDABLOCK,EQ,20070418,NaT
2083,BABWF,,INTL.CONS.AIRL.GP. (OTC),EQ,20110126,NaT
2084,BABYF,,ELSE NUTRITION (OTC) HOLDINGS,EQ,20190926,NaT
2085,BAC,,BANK OF AMERICA,EQ,19690102,NaT
2086,BACA,,BERENSON ACQUISITION A,EQ,20211118,NaT
2087,BACAW,,BERENSON ACQ.I EQ. WTS. EXP 1ST AUG 2026,EQ,20211122,NaT
2088,BACHF,,BANK OF CHINA 'H' (OTC),EQ,20140113,NaT
2089,BACHY,,BANK OF CHINA ADR 1:25,ADR,20081022,NaT
2090,BACK,,IMAC HOLDINGS,EQ,20190213,NaT
2091,BACPRB,,BANK AMER DEPOSITARY SHARES,EQ,20180508,NaT
2092,BACPRE,,BANK OF AMERICA DEPOSITARY SHARES,EQ,20180319,NaT
2093,BACPRK,,BANK OF AMERICA DS,EQ,20180718,NaT
2094,BACPRL,,BK.OAA.7.25% NCUM.PERP. CONV PREF SR.L,EQ,20180319,NaT
2095,BACPRM,,BANK AMER DS,EQ,20190619,NaT
2096,BACPRN,,BANK OF AMERICA 1000 DEPOSITARY SHARES,EQ,20190911,NaT
2097,BACPRO,,BANK OF AMERICA DEPOSITARY SHARES,EQ,20201103,NaT
2098,BACPRP,,BANK OF AMERICA 1000 DS,EQ,20210125,NaT
2099,BACPRQ,,BANK AMER DS,EQ,20211022,NaT
2100,BACPRS,,BANK AMER DEP,EQ,20220128,NaT
2101,BADEF,,HERCULES METALS (OTC),EQ,20220525,NaT
2102,BADFF,,BADGER (OTC) INFRASTRUCTURE SOLUTIONS,EQ,20040405,NaT
2103,BADG,,BADGER ST ETHANOL CAP UNIT CL.A,EQ,20110915,NaT
2104,BADGA,,BADGER ST ETHANOL CAP UNIT CL.A-1,EQ,20160112,NaT
2105,BAER,,BRIDGER AEROSPACE GROUP,EQ,20210317,NaT
2106,BAERW,,BRIDGER AEROS.GP. EQUTIES WTS.EXP 24 JAN 2,EQ,20210315,NaT
2107,BAESF,,BAE SYSTEMS (OTC),EQ,20140113,NaT
2108,BAESY,,BAE SYS.ADR 1:4,ADR,20010109,NaT
2109,BAFBF,,BALFOUR BEATTY (OTC),EQ,20140113,NaT
2110,BAFI,,BANCAFFILIATED,EQ,20010604,
2111,BAFN,,BAYFIRST FINL,EQ,20191120,NaT
2112,BAFYY,,BALFOUR BEATTY ADR 1:2,ADR,20111021,NaT
2113,BAGFF,,BARR (AG) (OTC),EQ,20201222,NaT
2114,BAGGF,,BLENDE SILVER (OTC),EQ,20230912,NaT
2115,BAH,,BOOZ ALLEN HAMILTN.HLDG.,EQ,20101117,NaT
2116,BAIDF,,BAIDU 'A' (OTC),EQ,20210708,NaT
2117,BAIGF,,BAIRONG (OTC),EQ,20230215,NaT
2118,BAINF,,BASE (OTC),EQ,20200522,NaT
2119,BAIVF,,BENEVOLENTAI (OTC),EQ,20240411,NaT
2120,BAJFF,,CAMROVA RESOURCES (OTC),EQ,20040721,NaT
2121,BAK,,BRASKEM ADR 1:2,ADR,19930129,NaT
2122,BAKBF,,ROADSIDE REAL (OTC) ESTATE,EQ,20210608,NaT
2123,BAKPF,,CONDOR ENERGY (OTC),EQ,20050422,NaT
2124,BALDF,,FASTIGHETS BALDER B(OTC),EQ,20220110,NaT
2125,BALL,,BALL,EQ,19721214,NaT
2126,BALY,,BALLY S,EQ,20190329,NaT
2127,BAM,,BROOKFIELD ASSET MNGMT CL A ORD,EQ,20221202,NaT
2128,BAMGF,,BROOKFIELD PREF. (OTC) SERIES 24 A,EQ,20130813,NaT
2129,BAMKF,,BROOKFIELD PREF. (OTC) SERIES 26 A,EQ,20151221,NaT
2130,BAMXF,,BMW (OTC),EQ,20140113,NaT
2131,BANC,,BANC OF CALIFORNIA,EQ,20020813,NaT
2132,BANCPRF,,BANC OF CALIFORNIA DEPOSITARY EACH,EQ,20231201,NaT
2133,BAND,,BANDWIDTH A,EQ,20171110,NaT
2134,BANF,,BANCFIRST,EQ,19930401,NaT
2135,BANI,,BANNEKER,EQ,19980408,NaT
2136,BANL,,CBL INTERNATIONAL,EQ,20230323,NaT
2137,BANR,,BANNER,EQ,19951024,NaT
2138,BANT,,BANTEC,EQ,19760712,NaT
2139,BAOB,,BARABOO BANCORP,EQ,20120724,NaT
2140,BAOOF,,BAIOO FAMILY (OTC) INTERACTIVE,EQ,20160502,NaT
2141,BAOS,,BAOSHENG MEDIA GROUP HOLDINGS,EQ,20210208,NaT
2142,BAP,,CREDICORP,EQ,19951025,NaT
2143,BAPUF,,BANPU PUBLIC FB (OTC),EQ,20120813,NaT
2144,BARK,,BARK,EQ,20201218,NaT
2145,BARUF,,BARU GOLD (OTC),EQ,20140113,NaT
2146,BASA,,BASANITE,EQ,20090224,NaT
2147,BASE,,COUCHBASE,EQ,20210722,NaT
2148,BASFY,,BASF SE ADR 4:1,ADR,19811127,NaT
2149,BATL,,BATTALION OIL (ASE),EQ,20191227,NaT
2150,BATMF,,BRIT.AMER.TOB. (OTC) (MALAYSIA),EQ,20090703,NaT
2151,BATRA,,ATLANTA BRAVES HOLDINGS SERIES A,EQ,20160418,NaT
2152,BATRB,,ATLANTA BRAVES HOLDINGS SERIES B,EQ,20160429,NaT
2153,BATRK,,ATLANTA BRAVES HOLDINGS SERIES C,EQ,20160418,NaT
2154,BATXF,,BATTERY X METALS (OTC),EQ,20200915,NaT
2155,BAUFF,,BLUE STAR GOLD (OTC),EQ,20120801,NaT
2156,BAX,,BAXTER INTL.,EQ,19620702,NaT
2157,BAYA,,BAYVIEW ACQUISITION A,EQ,20231229,NaT
2158,BAYAU,,BAYVIEW ACQUISITION UNITS,EQ,20231215,NaT
2159,BAYP,,BAYPORT INTL.HDG.,EQ,20051024,NaT
2160,BAYRY,,BAYER SPN.ADR 4:1,ADR,19750102,NaT
2161,BAYZF,,BAYER (OTC),EQ,20140113,NaT
2162,BB,,BLACKBERRY (NYS),EQ,19971021,NaT
2163,BBAGF,,BB BIOTECH (OTC),EQ,20090827,NaT
2164,BBAI,,BIGBEAR AI HOLDINGS,EQ,20210405,NaT
2165,BBAJF,,BNC.DEL BAJIO IDBC.(OTC) MTPL.,EQ,20190521,NaT
2166,BBAL,,NEW YORK HLTH.CARE,EQ,19961223,NaT
2167,BBAR,,BANCO BBVA ARGENTINA ADR 1:3,ADR,19931123,NaT
2168,BBBK,,BAKER BOYER BANCORP,EQ,20120724,NaT
2169,BBBMF,,HUNTSMAN (OTC) EXPLORATION,EQ,20161216,NaT
2170,BBBT,,BLACK BIRD BIOTECH,EQ,20071025,NaT
2171,BBBXF,,BRIXTON METALS (OTC),EQ,20110717,NaT
2172,BBBYQ,,BED BATH & BEYOND,EQ,19920513,
2173,BBCMF,,BLACKBIRD CRITICAL (OTC) METALS,EQ,20230105,NaT
2174,BBCP,,CONCRETE PUMPING HOLDINGS,EQ,20181207,NaT
2175,BBD,,BNC.BRADESCO PF.SPN.ADR 1:1,ADR,20001226,NaT
2176,BBDA,,BEBIDA BEVERAGE,EQ,20000811,NaT
2177,BBDO,,BANCO BRADESCO ADR 1:1,ADR,20120313,NaT
2178,BBEDF,,BETER BED HOLDING (OTC),EQ,20180717,
2179,BBGI,,BEASLEY BROADCAST GROUP A,EQ,20000210,NaT
2180,BBIG,,VINCO VENTURES,EQ,20180503,NaT
2181,BBIO,,BRIDGEBIO PHARMA,EQ,20190627,NaT
2182,BBIXF,,BONUS BIOGROUP (OTC),EQ,20190730,NaT
2183,BBKCF,,BIGG DIGITAL ASSETS(OTC),EQ,20171212,NaT
2184,BBLC,,BLOCKCHAIN LOYALTY,EQ,20060919,NaT
2185,BBLG,,BONE BIOLOGICS,EQ,20160602,NaT
2186,BBLKF,,BRITANNIA BULK HOLDINGS,EQ,20080618,NaT
2187,BBLNF,,BABYLON HOLDINGS A,EQ,20210401,NaT
2188,BBLR,,BUBBLR,EQ,20020809,NaT
2189,BBLS,,PETROLIA ENERGY,EQ,20101112,NaT
2190,BBME,,BORDER BANCSHARES,EQ,20060728,
2191,BBMPY,,BBMG ADR 1:20,ADR,20150430,NaT
2192,BBNA,,BONVENU BANCORP,EQ,20030417,NaT
2193,BBOE,,BLACK BOX ENTERTAINMENT,EQ,20070809,NaT
2194,BBOP,,BEBOP CHANNEL,EQ,20220901,NaT
2195,BBRDF,,BLACKBIRD (OTC),EQ,20210211,NaT
2196,BBRRF,,BLUEBERRIES MEDICAL(OTC),EQ,20190208,NaT
2197,BBRW,,BREWBILT MFG,EQ,20161208,NaT
2198,BBRYF,,BURBERRY GROUP (OTC),EQ,20140113,NaT
2199,BBSEY,,BB SEGURIDADE PARTICIPACOES ADR 1:1,ADR,20140331,NaT
2200,BBSI,,BARRETT BUS.SVS.,EQ,19930611,NaT
2201,BBSRF,,BLUESTONE RESOURCES(OTC),EQ,19600101,NaT
2202,BBTT,,BTAB ECOMMERCE GROUP,EQ,20040317,NaT
2203,BBTVF,,BBTV HOLDINGS (OTC),EQ,20201221,
2204,BBU,,BROOKFIELD BUS. (NYS) PTNS.UTS.,EQ,20160601,NaT
2205,BBUC,,BROOKFIELD BUSINESS(NYS) A,EQ,20220315,NaT
2206,BBUCQ,,BIG BUCK BREW.& STKH.,EQ,19960613,NaT
2207,BBUZ,,BEBUZEE,EQ,20130212,NaT
2208,BBVA,,BBV.ARGENTARIA SPN.ADR 1:1,ADR,19881214,NaT
2209,BBVXF,,BBVA (OTC),EQ,20140113,NaT
2210,BBW,,BUILD A BEAR WORKSHOP,EQ,20041028,NaT
2211,BBWI,,BATH AND BODY WORKS,EQ,19730209,NaT
2212,BBXIA,,BBX CAPITAL A,EQ,20201001,NaT
2213,BBXIB,,BBX CAPITAL B,EQ,20201006,NaT
2214,BBY,,BEST BUY,EQ,19850418,NaT
2215,BBYLF,,ABRA INFORMATION (OTC) TECHNOLOGIES,EQ,20200818,
2216,BC,,BRUNSWICK,EQ,19620702,NaT
2217,BCAB,,BIOATLA,EQ,20201216,NaT
2218,BCAL,,SOUTHERN CALIF BANCORP,EQ,20120801,NaT
2219,BCAN,,BYND CANNASOFT ENTERPRISES,EQ,20220531,NaT
2220,BCAP,,BARON CAPITAL ENTERPRISE,EQ,19961209,NaT
2221,BCAUF,,BRILLIANCE CHINA (OTC) AUTOMOTIVE HOLDINGS,EQ,20140113,NaT
2222,BCBCF,,BC BUD (OTC),EQ,20140115,NaT
2223,BCBF,,BEACH COMMUNITY BANCSHARES,EQ,20120828,NaT
2224,BCBNF,,BASE CARBON (OTC),EQ,20220308,NaT
2225,BCBP,,BCB BANCORP,EQ,20020214,NaT
2226,BCC,,BOISE CASCADE,EQ,20130206,NaT
2227,BCCB,,BEACH CITIES COMMERCIAL BANK,EQ,20240315,NaT
2228,BCCEF,,BACTECH ENV. (OTC),EQ,20120302,NaT
2229,BCCHF,,BEAM COMMUNICATIONS(OTC) HOLDINGS,EQ,20210908,NaT
2230,BCCI,,BARISTAS COFFEE,EQ,20010109,NaT
2231,BCCLF,,BECLE DE CV (OTC),EQ,20170210,NaT
2232,BCCMY,,BAIC MTR ADR 1:10,ADR,20180314,NaT
2233,BCCOY,,BICO GROUP 4 ADR 4:1,ADR,20210929,NaT
2234,BCDA,,BIOCARDIA,EQ,19961113,NaT
2235,BCDMF,,KUUHUBB (OTC),EQ,20140113,NaT
2236,BCDRF,,BANCO SANTANDER (OTC),EQ,20140113,NaT
2237,BCDS,,BLAQCLOUDS,EQ,20140718,NaT
2238,BCE,,BCE (NYS),EQ,19620702,NaT
2239,BCEKF,,BEAR CREEK MINING (OTC),EQ,20030714,NaT
2240,BCEL,,ATRECA,EQ,20190624,NaT
2241,BCG,,KINGSWOOD ACQUISITION A,EQ,20210217,NaT
2242,BCH,,BANCO DE CHILE ADR 1:200,ADR,20020102,NaT
2243,BCHEY,,BEACH ENERGY ADR 1:20,ADR,20121205,NaT
2244,BCHHF,,BUCHER HOLDING AG (OTC) NIEDERWENINGEN NAMEN,EQ,20120213,NaT
2245,BCHMF,,BACHEM HOLDING (OTC),EQ,20220711,NaT
2246,BCHMY,,BACHEM HLDG ADR 10:1,ADR,20230329,NaT
2247,BCHPY,,BRAINCHIP HOLDINGS ADR 1:40,ADR,20211105,NaT
2248,BCII,,BCII ENTERPRISES,EQ,19990316,NaT
2249,BCKIF,,BABCOCK INTL. (OTC),EQ,20140113,NaT
2250,BCKIY,,BAB.INTGP.ADR 1:1,ADR,20140528,NaT
2251,BCKMF,,BECKER MILK 'B' (OTC),EQ,20120605,NaT
2252,BCLI,,BRAINSTORM CELL THERP.,EQ,20030513,NaT
2253,BCLYF,,BARCLAYS (OTC),EQ,20030730,NaT
2254,BCML,,BAYCOM,EQ,20120828,NaT
2255,BCMRF,,BCM RESOURCES (OTC),EQ,20101206,NaT
2256,BCMXY,,BANK OF COMMS.UNSP.ADR 1:25,ADR,20081013,NaT
2257,BCNAF,,BARCO NEW (OTC),EQ,20140113,NaT
2258,BCNAY,,BARCO NV UNSPONSORED ADR 2:1,ADR,20100226,NaT
2259,BCND,,BEACON REDEV.INDL.,EQ,20000516,NaT
2260,BCNWF,,BITCOIN WELL (OTC),EQ,20220804,NaT
2261,BCO,,BRINK'S,EQ,19620702,NaT
2262,BCOMF,,B COMMUNICATIONS (OTC),EQ,20071030,NaT
2263,BCOV,,BRIGHTCOVE,EQ,20120219,NaT
2264,BCOW,,1895 BANCORP OF WISCONSIN,EQ,20190110,NaT
2265,BCPC,,BALCHEM,EQ,19860603,NaT
2266,BCRD,,BLUEONE CARD,EQ,20120809,NaT
2267,BCRHF,,BLUE CAPITAL REINSURANCE HOLDINGS,EQ,20131106,
2268,BCRX,,BIOCRYST PHARMS.,EQ,19940304,NaT
2269,BCS,,BARCLAYS ADR 1:4,ADR,19860909,NaT
2270,BCSA,,BKCN.COINVESTORS ACQ.I A,EQ,20211231,NaT
2271,BCSAU,,BKCN.COINVESTORS ACQ.I UTS.,EQ,20211110,NaT
2272,BCSAW,,BKCN.COINVESTORS ACQ.I EQ.WARRT.EXP 1ST S,EQ,20211231,NaT
2273,BCSF,,BAIN CAPITAL SPECIALTY FINANCE,EQ,20181115,
2274,BCSO,,BANCORP SOUTHERN INDIANA,EQ,20040220,NaT
2275,BCTCF,,OSL GROUP (OTC),EQ,20221006,NaT
2276,BCTF,,BANCORP 34,EQ,20000517,NaT
2277,BCTX,,BRIACELL (NAS) THERAPEUTICS,EQ,20101029,NaT
2278,BCTXW,,BRIACELL THERP.EQ. WARRT.EXP 24TH FEB 2025,EQ,20210224,NaT
2279,BCUCF,,BRUNELLO CUCINELLI (OTC),EQ,20120608,NaT
2280,BCUCY,,BRNLO.CUCINELLI S P A UNSP.ADR 2:1,ADR,20131127,NaT
2281,BCUFF,,BELL COPPER (OTC),EQ,19600101,NaT
2282,BCVVF,,BOC AVIATION (OTC),EQ,20180418,NaT
2283,BCWG,,BCW GROUP,EQ,20160916,
2284,BCYC,,BICYCLE THERAPEUTICS ADR 1:1,ADR,20190524,NaT
2285,BDABF,,BOULE DIAGNOSTICS (OTC),EQ,20170427,NaT
2286,BDC,,BELDEN,EQ,19931124,NaT
2287,BDCC,,BLACKWELL 3D CONSTRUCTION,EQ,20221125,NaT
2288,BDCM,,BROADCAST MARKETING GP.,EQ,20050527,NaT
2289,BDCO,,BLUE DOLPHIN ENERGY,EQ,19900410,NaT
2290,BDCTF,,BUILDDIRECT COM (OTC) TECHNOLOGIES,EQ,20240124,NaT
2291,BDDDY,,BID ADR 1:1,ADR,20220103,NaT
2292,BDGCF,,BLACK DRAGON GOLD (OTC) CDI,EQ,20190524,NaT
2293,BDGR,,BLACK DRAGON RES.,EQ,20010829,NaT
2294,BDGSF,,BANK OF GEORGIA (OTC) GROUP,EQ,20141119,NaT
2295,BDIMF,,BLACK DIAMOND GP. (OTC),EQ,20100204,NaT
2296,BDL,,FLANIGANS ENTS.,EQ,20181112,NaT
2297,BDLNF,,BADLANDS RESOURCES (OTC),EQ,20110526,NaT
2298,BDN,,BRANDYWINE REAL.TST.SHBI NEW,EQ,19860723,NaT
2299,BDNNY,,BOLIDEN ADR 1:2,ADR,20141103,NaT
2300,BDORY,,BANCO DO BRASIL ADR 1:1,ADR,20091203,NaT
2301,BDOUF,,BNC.DE ORO UNIBANK (OTC),EQ,20071012,NaT
2302,BDOUY,,BDO UNIBANK ADR 1:10,ADR,20141106,NaT
2303,BDPT,,BIOADAPTIVES,EQ,20160602,NaT
2304,BDRAF,,BOMBARDIER 'A' (OTC),EQ,20061228,NaT
2305,BDRBF,,BOMBARDIER 'B' (OTC),EQ,20061228,NaT
2306,BDRFF,,BEIERSDORF (OTC),EQ,20140113,NaT
2307,BDRFY,,BEIERSDF.A G UNSP. GERM. ADR 5:1,ADR,20081121,NaT
2308,BDRGF,,JAEGER RESOURCES (OTC),EQ,20140113,NaT
2309,BDRL,,BLONDER TONGUE LABS.,EQ,19951214,NaT
2310,BDRPF,,BOMBARDIER PF.SVS. (OTC) 2 ADJ,EQ,20140113,NaT
2311,BDRSF,,BORDERS & STHN. (OTC) PTL.,EQ,20140113,NaT
2312,BDRX,,BIODEXA PHARMS.ADR 1:400,ADR,20151207,NaT
2313,BDRXF,,BOMBARDIER 6.25% (OTC) PF.SR.4,EQ,20100217,NaT
2314,BDSX,,BIODESIX,EQ,20201028,NaT
2315,BDTX,,BLACK DIAMOND THERAPEUTICS,EQ,20200130,NaT
2316,BDULF,,BANGKOK DUSIT MED. (OTC) SVS.FB,EQ,20140113,NaT
2317,BDUUY,,BGK.DUSIT MEDSRV. UNSP. THAI.ADR 1:40,ADR,20130820,NaT
2318,BDVB,,BAGGER DAVE S BURGER TAVERN,EQ,20170525,NaT
2319,BDVC,,BUSINESS DEVELOPMENT,EQ,20160824,NaT
2320,BDVSF,,BIDVEST GROUP (OTC),EQ,20140113,NaT
2321,BDVSY,,BIDVEST GP.SPN.ADR 1:2,ADR,20010109,NaT
2322,BDWBF,,BUDWEISER BREWING (OTC) COMPANY APAC,EQ,20191112,NaT
2323,BDWBY,,BUDWEISER BREWING COMPANY APAC ADR 1:4,ADR,20200804,NaT
2324,BDX,,BECTON DICKINSON,EQ,19630925,NaT
2325,BDXB,,BECTON DICKINSON AND 20 DEPOSITORY,EQ,20200521,
2326,BDYS,,BODYSCAN,EQ,20030704,NaT
2327,BE,,BLOOM ENERGY A,EQ,20180725,NaT
2328,BEAM,,BEAM THERAPEUTICS,EQ,20200206,NaT
2329,BEAT,,HEARTBEAM,EQ,20211112,NaT
2330,BEATW,,HEARTBEAM EQ.WARRT. EXP 31ST OCT 2026,EQ,20211112,NaT
2331,BEBE,,BEBE STORES,EQ,20171219,NaT
2332,BECEF,,BCE CUM.RED.1ST. (OTC) PREF. SR.AH,EQ,20190502,NaT
2333,BECN,,BEACON ROOFING SUPPLY,EQ,20040914,NaT
2334,BECTY,,BECHTLE ADR 5:1,ADR,20200728,NaT
2335,BECVY,,BEC WORLD PUBLIC ADR 1:10,ADR,20130820,NaT
2336,BEDU,,BRT.SCHOLAR ED.HDG. ADR 1:4,ADR,20170518,NaT
2337,BEEI,,BALD EAGLE ENERGY,EQ,20070530,NaT
2338,BEEM,,BEAM GLOBAL,EQ,20100430,NaT
2339,BEEN,,BETTER ENVM.CONCEPTS,EQ,19960201,NaT
2340,BEEP,,MOBILE INFRASTRUCTURE,EQ,20210525,NaT
2341,BEGI,,BLACKSTAR ENTER.GP.,EQ,19990802,NaT
2342,BEHL,,BIOCENTRIC ENERGY HDG.,EQ,20040727,NaT
2343,BEIGF,,BEIGENE (OTC),EQ,20221222,NaT
2344,BEIJF,,BEIJING NORTH STAR (OTC) 'H',EQ,20140113,NaT
2345,BEKAY,,BEKAERT UNSP.ADR 10:1,ADR,20120206,NaT
2346,BEKE,,KE HOLDINGS ADR 1:3,ADR,20200817,NaT
2347,BEKSF,,BEKAERT SA (OTC),EQ,20120710,NaT
2348,BELDF,,BATERO GOLD (OTC),EQ,20100913,NaT
2349,BELFA,,BEL FUSE 'A',EQ,19831206,NaT
2350,BELFB,,BEL FUSE 'B',EQ,19980710,NaT
2351,BELGF,,BELLEVUE GOLD (OTC),EQ,20200416,NaT
2352,BELMF,,BELMONT RES. (OTC),EQ,20210209,NaT
2353,BELR,,BELL ROSE CAPITAL,EQ,19950411,NaT
2354,BEN,,FRANKLIN RESOURCES,EQ,19830923,NaT
2355,BENCF,,BENS CREEK GROUP (OTC),EQ,20230705,NaT
2356,BENF,,BENEFICIENT A A,EQ,20211203,NaT
2357,BENFW,,BENEFICIENT EQ.WTS. EXP 07 JE.2028,EQ,20211203,NaT
2358,BENH,,BIO-EN HOLDINGS,EQ,20150110,NaT
2359,BENZF,,BENZ MINING (OTC),EQ,20180131,NaT
2360,BEOB,,BEO BANCORP OR,EQ,20120727,NaT
2361,BEOLF,,BEYOND OIL (OTC),EQ,20230307,NaT
2362,BEP,,BROOKFIELD RENEW. (NYS) PARTNERS,EQ,20130611,NaT
2363,BEPC,,BRKF.RENEW.SUBD. VTG.A,EQ,20200724,NaT
2364,BEPPRA,,BRKF.RENEW.RED PERP A PREF. SR.17,EQ,20200220,NaT
2365,BEPTF,,BEACH PETROLEUM (OTC),EQ,19740319,NaT
2366,BERI,,BLUE EARTH RES.,EQ,20030328,NaT
2367,BERY,,BERRY GLOBAL GROUP,EQ,20121004,NaT
2368,BESAF,,BESRA GOLD CDI (OTC),EQ,20221220,NaT
2369,BESIY,,BE SEMICON.INDS.NV NY. RGY.1:1,EQ,19951205,NaT
2370,BEST,,BEST ADR 1:20,ADR,20170920,NaT
2371,BESVF,,BE SEMICONDUCTOR (OTC) INDUSTRIES,EQ,20140814,NaT
2372,BETR,,BETTER HOME FINANCE HOLDING COMPANY A A,EQ,20210502,NaT
2373,BETRF,,BETTERLIFE PHARMA,EQ,20100901,NaT
2374,BETRW,,BTR.HM.FIN.HLDG.EQ. WARRT.EXP 23 AUG 2028,EQ,20210512,NaT
2375,BETSF,,BIT BRO,EQ,20150601,NaT
2376,BETW,,BETTWORK INDUSTRIES,EQ,20000615,NaT
2377,BEUT,,SCIENCE TO CONSUMERS,EQ,20140721,NaT
2378,BEVFF,,DIVERSIFIED ROYALTY(OTC),EQ,20010726,NaT
2379,BEVVF,,BEE VECTORING (OTC) TECHS.INTL.,EQ,20151103,NaT
2380,BEWFF,,BEWHERE HOLDINGS (OTC),EQ,19600101,NaT
2381,BF.A,,BROWN-FORMAN 'A',EQ,19620702,NaT
2382,BF.B,,BROWN-FORMAN 'B',EQ,19620702,NaT
2383,BFAC,,BATTERY FUTURE ACQUISITION A,EQ,20220204,NaT
2384,BFAC.U,,BATTERY FUTURE ACQUISITION UNITS,EQ,20211215,NaT
2385,BFAM,,BRIGHT HORIZONS FAMILY SOLUTIONS,EQ,20130125,NaT
2386,BFC,,BANK FIRST,EQ,20120724,NaT
2387,BFCC,,BANKFIRST CAP.,EQ,20210805,NaT
2388,BFCH,,BITFRONTIER CAPITAL HOLDINGS,EQ,20100818,NaT
2389,BFDE,,BEDFORD ENERGY,EQ,20040706,NaT
2390,BFFAF,,BASF (OTC),EQ,20100902,NaT
2391,BFFTF,,BIOFRONTERA K (OTC),EQ,20180108,NaT
