,ts_code,name,enname,classify,list_date,delist_date
163,ABR,,ARBOR REALTY TST.,EQ,20040406,NaT
164,ABRMF,,ARBOR METALS (OTC),EQ,20220228,NaT
165,ABRPRD,,ARBOR REALTY TRUST PREF. SERIES D,EQ,20210526,NaT
166,ABRPRE,,ARBOR RLTY PREF. SERIES E,EQ,20210809,NaT
167,ABRPRF,,ARBOR REAL.TST.6.25 CUM. PREF. SR.F,EQ,20211018,NaT
168,ABSCF,,AB SCIENCE (OTC),EQ,20110909,NaT
169,ABSI,,ABSCI,EQ,20210722,NaT
170,ABSOF,,ABS CBN HDG. (OTC) PHILLIPINE DPREC.,EQ,20140508,NaT
171,ABSSF,,AIRBOSS OF AMERICA CORP.,EQ,20140113,NaT
172,ABST,,ABSOLUTE SOFTWARE (NAS),EQ,20140113,
173,ABT,,ABBOTT LABORATORIES,EQ,19620702,NaT
174,ABTI,,ALTEROLA BIOTECH,EQ,20101203,NaT
175,ABTO,,AB T FINANCIAL,EQ,20120724,NaT
176,ABTS,,ABITS GROUP,EQ,20160602,NaT
177,ABTZY,,ABOITIZ EQUITY VENTURES ADR 1:10,ADR,20130603,NaT
178,ABUS,,ARBUTUS BIOPHARMA (NAS),EQ,20101115,NaT
179,ABVC,,ABVC BIOPHARMA,EQ,20041109,NaT
180,ABVE,,BITE ACQUISITION (NAS),EQ,20210406,NaT
181,ABVG,,AFFINITY BEVERAGE GP.,EQ,20001016,NaT
182,ABVN,,ABV CONSULTING,EQ,20160916,NaT
183,ABVX,,ABIVAX AMERICAN DEPOSITARY SHARES 1:1,ADR,20231020,NaT
184,ABWN,,AIRBORNE WIRELESS NET.,EQ,20151019,NaT
185,ABXXF,,ABAXX TECHNOLOGIES (OTC),EQ,20201221,NaT
186,ABZPF,,ABOITIZ POWER (OTC),EQ,20110707,NaT
187,ABZPY,,ABOITIZ POWER ADR 1:20,ADR,20121217,NaT
188,ABZT,,ABLAZE TECHS.,EQ,20040415,NaT
189,ABZUF,,ABZU GOLD (OTC),EQ,20110119,NaT
190,AC,,ASSOCIATED CAPITAL GROUP,EQ,20151109,NaT
191,ACA,,ARCOSA,EQ,20181030,NaT
192,ACAB,,ATLANTIC COASTAL ACQUISITION II A,EQ,20220309,NaT
193,ACABU,,ATLANTIC COASTAL ACQUISITION II UNITS,EQ,20220114,NaT
194,ACABW,,ATL.CSTA.ACQ.II EQ. WARRT.EXP 13TH JAN 2027,EQ,20220307,NaT
195,ACAC,,ACRI CAPITAL ACQUISITION A,EQ,20220808,NaT
196,ACACU,,ACRI CAPITAL ACQUISITION UNITS,EQ,20220610,NaT
197,ACAD,,ACADIA PHARMACEUTICALS,EQ,20040527,NaT
198,ACAGF,,ARCANDOR (OTC),EQ,20231228,NaT
199,ACAH,,ATLANTIC COASTAL ACQUISITION A,EQ,20210428,
200,ACAHU,,ATLANTIC COASTAL ACQUISITION UNITS,EQ,20210304,
201,ACAHW,,ATL.CSTA.ACQ.EQ. WARRT. EXP 02 MA.2026,EQ,20210429,
202,ACAI,,SAFEPLUS INTERNATIONAL HOLDINGS,EQ,20010727,NaT
203,ACAN,,AMERICANN,EQ,20140710,NaT
204,ACAQ.U,,ATHENA CONSUMER (ASE) ACQUISITION UNITS,EQ,20211020,
205,ACAVF,,ACE AVIATION HDG. (OTC),EQ,20140227,
206,ACAXU,,ALSET CAPITAL ACQUISITION UNITS,EQ,20220201,
207,ACAXW,,ALSET CAP.ACQ.EQ. WARRT. EXP 31ST JAN 2027,EQ,20220324,
208,ACAZF,,ACADIAN TIMBER (OTC),EQ,20100427,NaT
209,ACB,,AURORA CANNABIS (NAS),EQ,20140711,NaT
210,ACBA,,ACE GLOBAL BUSINESS ACQUISITION,EQ,20210526,NaT
211,ACBAU,,ACE GLOBAL BUSINESS ACQUISITION UNITS,EQ,20210406,NaT
212,ACBAW,,ACE GLB.BUS.ACQ.EQ. WARRT.EXP 26 MA.2026,EQ,20210521,NaT
213,ACBCQ,,ALBINA COMMUNITY BANC.,EQ,19970818,NaT
214,ACBD,,ANNABIDIOL,EQ,19950524,NaT
215,ACBM,,ARCO BIOMEDICAL,EQ,20180412,NaT
216,ACCA,,ACACIA DIVERSIFIED HDG.,EQ,19980910,NaT
217,ACCD,,ACCOLADE,EQ,20200702,NaT
218,ACCFF,,ACCORD FINANCIAL (OTC),EQ,20150805,NaT
