,ts_code,name,classify,exchange,min_unit,max_unit,pip,pip_cost,traget_spread,min_stop_distance,trading_hours,break_time
50,USDJPY.FXCM,美元日元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
51,USDMXN.FXCM,美元墨西哥比索,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
52,USDNOK.FXCM,美元挪威克朗,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
53,USDSEK.FXCM,美元瑞典克朗,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
54,USDTRY.FXCM,美元土耳其里拉,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
55,USDZAR.FXCM,美元南非兰特,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
56,USDOLLAR.FXCM,美元指数,FX_BASKET,FXCM,1.0,200.0,0.001,1.0,,3.0,,
57,USOil.FXCM,美国原油,COMMODITY,FXCM,1.0,5000.0,,0.1,5.0,0.0,Sun 22.00 - Fri 20.45,Daily from 21.00 until 22.00
58,XAGUSD.FXCM,白银美元,COMMODITY,FXCM,50.0,200000.0,,0.5,4.5,0.0,Sun 22.00 - Fri 20.45,Daily from 21.00 until 22.00
59,XAUUSD.FXCM,黄金美元,COMMODITY,FXCM,1.0,10000.0,,0.01,40.0,0.0,Sun 22.00 - Fri 20.45,Daily from 21.00 until 22.00
60,ZARJPY.FXCM,南非兰特日元,FX,FXCM,1.0,,1e-05,,,, Sun 17.00 - Fri 16.55,
61,US2000.FXCM,美国罗素2000指数,INDEX,FXCM,1.0,5000.0,0.1,0.1,4.0,0.0,,
62,WHEATF.FXCM,小麦,COMMODITY,FXCM,1.0,2000.0,,0.1,7.5,0.0,Daily 00.00 - 18.20,Daily 12.45 - 13.30
63,CORNF.FXCM,玉米,COMMODITY,FXCM,1.0,2000.0,,0.1,7.5,2.0,Daily 00.00 - 18.20,Daily 12.45 - 13.30
64,BTCUSD.FXCM,比特币美元,CRYPTO,FXCM,1.0,500.0,1.0,0.01,,,Sun 22.00 - Fri 20.45,Daily 20.45 - 22.00
65,BCHUSD.FXCM,比特币现金美元,CRYPTO,FXCM,1.0,1000.0,1.0,0.01,,,Sun 22.00 - Fri 20.45,Daily 20.45 - 22.00
66,ETHUSD.FXCM,以太币美元,CRYPTO,FXCM,1.0,1000.0,1.0,0.01,,,Sun 22.00 - Fri 20.45,Daily 20.45 - 22.00
67,LTCUSD.FXCM,莱特币美元,CRYPTO,FXCM,1.0,1000.0,0.01,0.01,,,Sun 22.00 - Fri 20.45,Daily 20.45 - 22.00
68,XRPUSD.FXCM,瑞波币美元,CRYPTO,FXCM,100.0,1000.0,0.01,0.01,,,Sun 22.00 - Fri 20.45,Daily 20.45 - 22.00
