,ts_code,name,fullname,enname,cn_spell,market,list_status,list_date,delist_date,trade_unit,isin,curr_type
192,00224.HK,建生国际,建生国际集团有限公司,Pioneer Global Group Ltd.,JSGJ,主板,L,19700801,,4000.0,BMG7098N1002,HKD
193,00225.HK,博富临置业,博富临置业有限公司,Pokfulam Development Co. Ltd.,BFLZY,主板,L,19721219,,2000.0,HK0225001145,HKD
194,00226.HK,力宝,力宝有限公司,Lippo Ltd.,LB,主板,L,19730301,,1000.0,HK0226001151,HKD
195,00227.HK,第一上海,第一上海投资有限公司,First Shanghai Investments Ltd.,DYSH,主板,L,19720824,,8000.0,HK0227001168,HKD
196,00228.HK,中能控股,中国能源开发控股有限公司,China Energy Development Holdings Limited,ZNKG,主板,L,20020218,,2000.0,KYG2153W1033,HKD
197,00229.HK,利民实业,利民实业有限公司,Raymond Industrial Ltd.,LMSY,主板,L,19841122,,5000.0,HK0229001182,HKD
198,00230.HK,五矿地产,五矿地产有限公司,Minmetals Land Limited,WKDC,主板,L,19911220,,2000.0,BMG6144P1014,HKD
199,00232.HK,大陆航空科技控股,大陆航空科技控股有限公司,Continental Aerospace Technologies Holding Limited,DLHKKJKG,主板,L,19911212,,2000.0,BMG2381M1091,HKD
200,00234.HK,新世纪集团,新世纪集团香港有限公司,New Century Group Hong Kong Ltd.,XSJJT,主板,L,19721124,,24000.0,BMG644581396,HKD
201,00235.HK,中策资本控股,中策资本控股有限公司,CSC Holdings Limited,ZCZBKG,主板,L,19721204,,5000.0,HK0235034623,HKD
202,00236.HK,香港生力啤,香港生力啤酒厂有限公司,San Miguel Brewery Hong Kong Ltd.,XGSLP,主板,L,19630722,,2000.0,HK0236001209,HKD
203,00237.HK,安全货仓,安全货仓有限公司,"Safety Godown Co., Ltd.",AQHC,主板,L,19730109,,2000.0,HK0000642089,HKD
204,00239.HK,白花油,白花油国际有限公司,Pak Fah Yeow International Ltd.,BHY,主板,L,19911218,,2500.0,BMG6873Y1176,HKD
205,00240.HK,利基控股,利基控股有限公司,Build King Holdings Ltd.,LJKG,主板,L,19730315,,10000.0,BMG1675M1064,HKD
206,00241.HK,阿里健康,阿里健康信息技术有限公司,Alibaba Health Information Technology Limited,ALJK,主板,L,19720706,,2000.0,BMG0171K1018,HKD
207,00242.HK,信德集团,信德集团有限公司,Shun Tak Holdings Ltd.,XDJT,主板,L,19730125,,2000.0,HK0242001243,HKD
208,00243.HK,QPL INT'L,品质国际集团有限公司,QPL International Holdings Ltd.,QPLINTL,主板,L,19870120,,9000.0,BMG7302M2110,HKD
209,00244.HK,先施,先施有限公司,The Sincere Co. Ltd.,XS,主板,L,19210101,,1000.0,HK0244001258,HKD
210,00245.HK,中薇金融,中薇金融控股有限公司,China Vered Financial Holding Corporation Limited,ZWJR,主板,L,19720825,,10000.0,HK0000268943,HKD
211,00247.HK,TST PROPERTIES,尖沙咀置业集团有限公司,Tsim Sha Tsui Properties Ltd.,TSTPROPERTIES,主板,L,19720720,,2000.0,HK0247001271,HKD
212,00248.HK,香港通讯国际控股,香港通讯国际控股有限公司,HKC International Holdings Ltd.,XGTXGJKG,主板,L,20011109,,4000.0,KYG4515X1007,HKD
213,00251.HK,爪哇控股,爪哇控股有限公司,S E A Holdings Ltd.,ZWKG,主板,L,19731003,,2000.0,BMG7946B1000,HKD
214,00252.HK,华信地产财务,华信地产财务有限公司,Southeast Asia Properties & Finance Ltd.,HXDCCW,主板,L,19730301,,2000.0,HK0252001307,HKD
215,00253.HK,顺豪控股,顺豪控股有限公司,Shun Ho Holdings Ltd.,SHKG,主板,L,19801013,,2000.0,HK0253001314,HKD
216,00254.HK,国家联合资源,国家联合资源控股有限公司,National United Resources Holdings Limited,GJLHZY,主板,L,19721116,,20000.0,HK0000171519,HKD
217,00255.HK,龙记集团,龙记集团控股有限公司,Lung Kee Group Holdings Limited,LJJT,主板,L,19930305,,2000.0,BMG5697D1011,HKD
218,00256.HK,冠城钟表珠宝,冠城钟表珠宝集团有限公司,Citychamp Watch & Jewellery Group Limited,GCZBZB,主板,L,19911210,,2000.0,KYG2161T1004,HKD
219,00257.HK,光大环境,中国光大环境(集团)有限公司,China Everbright Environment Group Ltd.,GDHJ,主板,L,19730101,,1000.0,HK0257001336,HKD
220,00258.HK,汤臣集团,汤臣集团有限公司,Tomson Group Ltd.,TCJT,主板,L,19820726,,2000.0,KYG8917R1083,HKD
221,00259.HK,亿都(国际控股),亿都(国际控股)有限公司,Yeebo (International Holdings) Ltd.,YDGJKG,主板,L,19930901,,2000.0,BMG9835R1051,HKD
222,00261.HK,GBA集团,GBA集团有限公司,GBA Holdings Limited,GBAJT,主板,L,19911230,,16000.0,BMG4153U2026,HKD
223,00262.HK,迪臣发展国际,迪臣发展国际集团有限公司,Deson Development International Holdings Ltd.,DCFZGJ,主板,L,19970610,,5000.0,BMG2734F1656,HKD
224,00264.HK,中联发展控股,中联发展控股集团有限公司,China International Development Corporation Limited,ZLFZKG,主板,L,20030312,,4000.0,KYG2121T1094,HKD
225,00265.HK,港誉智慧城市服务,港誉智慧城市服务控股有限公司,Gangyu Smart Urban Services Holding Limited,GYZHCSFW,主板,L,19721212,,2000.0,KYG6777V1445,HKD
226,00266.HK,天德地产,天德地产有限公司,Tian Teck Land Ltd.,TDDC,主板,L,19860226,,2000.0,HK0266001368,HKD
227,00267.HK,中信股份,中国中信股份有限公司,CITIC Limited,ZXGF,主板,L,19860226,,1000.0,HK0267001375,HKD
228,00268.HK,金蝶国际,金蝶国际软件集团有限公司,Kingdee International Software Group Company Limited,JDGJ,主板,L,20050720,,1000.0,KYG525681477,HKD
229,00269.HK,中国资源交通,中国资源交通集团有限公司,China Resources and Transportation Group Limited,ZGZYJT,主板,L,19730319,,5000.0,KYG2162D1126,HKD
230,00270.HK,粤海投资,粤海投资有限公司,Guangdong Investment Ltd.,YHTZ,主板,L,19730105,,2000.0,HK0270001396,HKD
231,00271.HK,亚证地产,亚证地产有限公司,Asiasec Properties Limited,YZDC,主板,L,19730228,,1000.0,HK0271007608,HKD
232,00272.HK,瑞安房地产,瑞安房地产有限公司,Shui On Land Limited,RAFDC,主板,L,20061004,,500.0,KYG811511131,HKD
233,00274.HK,复兴亚洲,复兴亚洲丝路集团有限公司,Renaissance Asia Silk Road Group Limited,FXYZ,主板,L,20001218,,10000.0,KYG2115F1494,HKD
234,00276.HK,蒙古能源,蒙古能源有限公司,Mongolia Energy Corporation Limited,MGNY,主板,L,19720823,,6000.0,BMG6260K1595,HKD
235,00277.HK,太兴置业,太兴置业有限公司,Tern Properties Co. Ltd.,TXZY,主板,L,19890104,,2000.0,HK0277001415,HKD
236,00279.HK,裕承科金,裕承科金有限公司,Arta TechFin Corporation Limited,YCKJ,主板,L,19880510,,6000.0,KYG366302787,HKD
237,00280.HK,景福集团,景福集团有限公司,King Fook Holdings Ltd.,JFJT,主板,L,19880328,,2000.0,HK0280001436,HKD
238,00285.HK,比亚迪电子,比亚迪电子(国际)有限公司,BYD Electronic (International) Company Limited,BYDDZ,主板,L,20071220,,500.0,HK0285041858,HKD
239,00286.HK,爱帝宫,爱帝宫母婴健康股份有限公司,Aidigong Maternal & Child Health Limited,ADG,主板,L,19900907,,2000.0,BMG0133U1229,HKD
240,00287.HK,永发置业,永发置业有限公司,Winfair Investment Co. Ltd.,YFZY,主板,L,19730315,,2000.0,HK0287001470,HKD
241,00288.HK,万洲国际,万洲国际有限公司,WH Group Limited,WZGJ,主板,L,20140805,,500.0,KYG960071028,HKD
242,00289.HK,WING ON CO,永安国际有限公司,Wing On Company International Ltd.,WINGONCO,主板,L,19800102,,1000.0,BMG970561087,HKD
243,00290.HK,国富量子,国富量子创新有限公司,GoFintech Quantum Innovation Limited,GFLZ,主板,L,20010503,,8000.0,KYG2118A1132,HKD
244,00291.HK,华润啤酒,华润啤酒(控股)有限公司,China Resources Beer (Holdings) Company Limited,HRPJ,主板,L,19731115,,500.0,HK0291001490,HKD
245,00293.HK,国泰航空,国泰航空有限公司,Cathay Pacific Airways Ltd.,GTHK,主板,L,19860514,,1000.0,HK0293001514,HKD
246,00294.HK,长江制衣,长江制衣有限公司,Yangtzekiang Garment Limited,CJZY,主板,L,19700915,,1000.0,HK0294001521,HKD
247,00295.HK,江山控股,江山控股有限公司,Kong Sun Holdings Ltd.,JSKG,主板,L,19701128,,25000.0,HK0000120151,HKD
248,00296.HK,英皇娱乐酒店,英皇娱乐酒店有限公司,Emperor Entertainment Hotel Limited,YHYLJD,主板,L,19881230,,5000.0,BMG313891027,HKD
249,00297.HK,中化化肥,中化化肥控股有限公司,Sinofert Holdings Limited,ZHHF,主板,L,19960930,,2000.0,BMG8403G1033,HKD
250,00298.HK,庄士中国,庄士中国投资有限公司,Chuang's China Investments Ltd.,ZSZG,主板,L,19800123,,10000.0,BMG2122W1010,HKD
251,00299.HK,宝新置地,宝新置地集团有限公司,Glory Sun Land Group Ltd.,BXZD,主板,L,20040430,,5000.0,KYG3997X1253,HKD
252,00300.HK,美的集团,美的集团股份有限公司,"Midea Group Co., Ltd.",MDJT,主板,L,20240917,,100.0,CNE100006M58,HKD
253,00301.HK,三和精化,三和精化集团有限公司,SANVO Fine Chemicals Group Ltd.,SHJH,主板,L,20200116,,2000.0,KYG7809C1042,HKD
254,00302.HK,中手游,中手游科技集团有限公司,CMGE Technology Group Limited,ZSY,主板,L,20191031,,2000.0,KYG2347J1094,HKD
255,00303.HK,VTECH HOLDINGS,伟易达集团有限公司,VTech Holdings Ltd.,VTECHHOLDINGS,主板,L,19921105,,100.0,BMG9400S1329,HKD
256,00305.HK,五菱汽车,五菱汽车集团控股有限公司,Wuling Motors Holdings Limited,WLQC,主板,L,19921123,,10000.0,BMG9604B1090,HKD
257,00306.HK,冠忠巴士集团,冠忠巴士集团有限公司,Kwoon Chung Bus Holdings Ltd.,GZBSJT,主板,L,19960925,,2000.0,BMG5330P1077,HKD
258,00308.HK,香港中旅,香港中旅国际投资有限公司,China Travel International Investment Hong Kong Ltd.,XGZL,主板,L,19921111,,2000.0,HK0308001558,HKD
259,00309.HK,新华通讯频媒,新华通讯频媒控股有限公司,Xinhua News Media Holdings Limited,XHTXPM,主板,L,20030725,,1000.0,KYG5699G1367,HKD
